year,full_ID,ID,month,season,date,river,site,location,layer,TP,DTP,TN,DTN,conductivity,temp,pressure,chlorophyll,DO_sat,PAR,pH,depth,salinity,conductivity_spc,density_anomaly,DO_conc,absolute_depth,Chla_single,velocity_ms
2021,2021-05-11-5-PX-6,5-PX-6,May,spring,11/05/2021,PX,PX6,PX6-3,bottom,0.073,0.0766755,1.9248635,1.6008825,0.259814769,18.73458862,25.33203506,0.567550659,45.2051239,9.77E-04,7.5510602,15.07558727,0.142525792,295.1331482,-1.36257528,4.201040141,15.07558727,3.4875,NA
2021,2021-05-12-5-PX-4,5-PX-4,May,spring,12/05/2021,PX,PX4,PX4-1,surface,0.068,0.0215455,2.2207145,1.84261575,0.267199069,23.21255493,10.73239517,4.500686646,126.7242813,64.82568359,8.542387009,0.595003486,0.133701324,276.6437378,-2.406325647,10.7818561,15.09652996,47.43,NA
2021,2021-05-12-5-PX-4,5-PX-4,May,spring,12/05/2021,PX,PX4,PX4-2,middle,0.105,0.0491105,2.003177,1.654601,0.275178939,20.3112793,15.94605541,4.500854492,52.69978714,146.7919922,7.690273285,5.76614809,0.146007821,302.24646,-1.721074345,4.768829384,15.09652996,71.145,NA
2021,2021-05-12-5-PX-4,5-PX-4,May,spring,12/05/2021,PX,PX4,PX4-3,bottom,0.104,0.0601365,1.9828735,1.6253,0.270758092,18.61676025,25.35314941,4.501800537,44.88069534,164.8085938,7.686086178,15.09652996,0.148912743,308.352356,-1.334857243,4.197178626,15.09652996,6.975,NA
2021,2021-05-12-5-PX-5,5-PX-5,May,spring,12/05/2021,PX,PX5,PX5-1,surface,0.048,0.02568025,2.270023,1.791339,0.303215444,22.81915283,10.88794518,0.012695313,185.0882111,26.47363281,7.909150124,0.749285042,0.152504131,315.8431091,-2.3195977,15.64341204,23.36745262,18.8325,NA
2021,2021-05-12-5-PX-5,5-PX-5,May,spring,12/05/2021,PX,PX5,PX5-2,middle,0.083,0.06702775,2.061187,1.66192625,0.280919284,20.8187561,15.87107086,0.008178711,49.3433342,0.025878906,7.662503719,5.691774845,0.148923501,308.2887573,-1.727359758,4.524345554,23.36745262,36.27,NA
2021,2021-05-12-5-PX-5,5-PX-5,May,spring,12/05/2021,PX,PX5,PX5-3,bottom,0.079,0.06978425,2.1046945,1.713203,0.314941555,17.8850708,33.69207382,0.006881714,47.57461929,0.001953125,7.579354763,23.36745262,0.176473528,365.0708618,-1.122052307,4.463807192,23.36745262,3.4875,NA
2021,2021-05-12-5-PX-6,5-PX-6,May,spring,12/05/2021,PX,PX6,PX6-1,surface,0.108,0.07254075,2.101794,1.68634375,0.306551486,22.26187134,10.77801704,1.566543579,70.34047699,81.0703125,7.728734493,0.640253365,0.156209871,323.4683228,-2.165984741,6.094835376,14.44406891,8.37,NA
2021,2021-05-12-5-PX-6,5-PX-6,May,spring,12/05/2021,PX,PX6,PX6-2,middle,0.112,0.0766755,1.840749,1.508096,0.293677956,21.10079956,16.14778137,0.87638855,59.26245499,0.002929688,7.622172356,5.966228962,0.153269336,317.3094788,-1.88363933,5.252419856,14.44406891,4.185,NA
2021,2021-05-12-5-PX-6,5-PX-6,May,spring,12/05/2021,PX,PX6,PX6-3,bottom,0.155,0.07254075,2.36864,1.75959625,0.263398439,18.85775757,24.69532394,0.537506104,44.09105682,0.002441406,7.528094292,14.44406891,0.144112438,298.4065552,-1.388192041,4.087202835,14.44406891,3.4875,NA
2021,2021-05-13-5-PX-4,5-PX-4,May,spring,13/05/2021,PX,PX4,PX4-1,surface,0.093,0.05738,2.657184125,1.23255175,0.267199069,22.83105469,10.74259758,4.500686646,126.7242813,16.45166016,8.033114433,0.605122745,0.133701324,276.6437378,-2.406325647,10.7818561,13.283638,29.295,NA
2021,2021-05-13-5-PX-4,5-PX-4,May,spring,13/05/2021,PX,PX4,PX4-2,middle,0.07,0.04221925,2.08107125,1.6020775,0.275178939,20.53121948,16.13671112,4.500854492,52.69978714,0.032226563,7.710904598,5.955248833,0.146007821,302.24646,-1.721074345,4.768829384,13.283638,43.245,NA
2021,2021-05-13-5-PX-4,5-PX-4,May,spring,13/05/2021,PX,PX4,PX4-3,bottom,0.111,0.06702775,2.556283,1.68856225,0.270758092,19.05862427,23.52535248,4.501800537,44.88069534,164.8085938,7.686820984,13.283638,0.148912743,308.352356,-1.334857243,4.197178626,13.283638,2.79,NA
2021,2021-05-13-5-PX-5,5-PX-5,May,spring,13/05/2021,PX,PX5,PX5-1,surface,0.124,0.08081025,3.17470925,1.77766775,0.303215444,23.5975647,10.93812084,0.012695313,185.0882111,7.719238281,8.255328178,0.799051523,0.152504131,315.8431091,-2.3195977,15.64341204,23.36910629,72.54,NA
2021,2021-05-13-5-PX-5,5-PX-5,May,spring,13/05/2021,PX,PX5,PX5-2,middle,0.083,0.06978425,2.194991875,1.5391795,0.280919284,20.81161499,16.14435959,0.008178711,49.3433342,0.002929688,7.691209793,5.962834835,0.148923501,308.2887573,-1.727359758,4.524345554,23.36910629,22.32,NA
2021,2021-05-13-5-PX-5,5-PX-5,May,spring,13/05/2021,PX,PX5,PX5-3,bottom,0.151,0.073919,2.37401,1.66235475,0.314941555,17.86990356,33.69374084,0.006881714,47.57461929,0.001953125,7.564616203,23.36910629,0.176473528,365.0708618,-1.122052307,4.463807192,23.36910629,3.4875,NA
2021,2021-05-13-5-PX-6,5-PX-6,May,spring,13/05/2021,PX,PX6,PX6-1,surface,0.081,0.07254075,2.103855375,1.74097725,0.315579146,22.95123291,10.87335968,2.723449707,76.91149139,21.92431641,7.789260387,0.734818518,0.158565596,328.4311218,-2.3245958,6.576517696,15.47425652,8.37,NA
2021,2021-05-13-5-PX-6,5-PX-6,May,spring,13/05/2021,PX,PX6,PX6-2,middle,0.095,0.06978425,2.06805175,1.62042275,0.300929755,21.11767578,15.95528126,0.805175781,57.47666931,0.0078125,7.613956451,5.775298595,0.157000706,325.0316162,-1.885353644,5.09234672,15.47425652,4.8825,NA
2021,2021-05-13-5-PX-6,5-PX-6,May,spring,13/05/2021,PX,PX6,PX6-3,bottom,0.089,0.0766755,2.045267625,1.64138875,0.269061983,19.00756836,25.73398209,0.514602661,42.45832062,9.77E-04,7.524537086,15.47425652,0.146740124,303.8378906,-1.410701647,3.923824458,15.47425652,2.79,NA
2021,2021-05-14-5-PX-4,5-PX-4,May,spring,14/05/2021,PX,PX4,PX4-1,surface,0.093280625,0.05738,2.8356205,2.152718,0.287327707,22.34689331,10.83467674,0.009338379,63.34992981,1.887207031,7.812795639,0.696451008,0.146188721,302.6650391,-2.192934041,5.480448958,13.16267681,25.11,NA
2021,2021-05-14-5-PX-4,5-PX-4,May,spring,14/05/2021,PX,PX4,PX4-2,middle,0.069673625,0.04221925,2.3193315,1.742504,0.291494012,21.21386719,15.92207909,0.006820679,50.44385529,0.011230469,7.666362286,5.742367268,0.151774153,314.2166443,-1.910543297,4.460959326,13.16267681,76.0275,NA
2021,2021-05-14-5-PX-4,5-PX-4,May,spring,14/05/2021,PX,PX4,PX4-3,bottom,0.110985875,0.06702775,3.1372725,1.97935375,0.268739551,19.30685425,23.40339661,0.003555298,40.90270996,0.002441406,7.636051178,13.16267681,0.145635188,301.5273743,-1.48149828,3.757247439,13.16267681,18.8325,NA
2021,2021-05-14-5-PX-5,5-PX-5,May,spring,14/05/2021,PX,PX5,PX5-1,surface,0.124264813,0.08081025,17.410633,2.23817925,0.297635823,22.99649048,10.67973423,0.463302612,185.0882111,7.762695313,8.020036697,0.542771995,0.149438813,309.4786682,-2.343134529,15.64341204,21.88646507,62.775,NA
2021,2021-05-14-5-PX-5,5-PX-5,May,spring,14/05/2021,PX,PX5,PX5-2,middle,0.082952563,0.06978425,3.35481,2.37003375,0.300049335,21.1673584,15.83795547,0.112503052,49.3433342,0.009765625,7.624461174,5.658929348,0.156379297,323.7488708,-1.897223807,4.524345554,21.88646507,34.1775,NA
2021,2021-05-14-5-PX-5,5-PX-5,May,spring,14/05/2021,PX,PX5,PX5-3,bottom,0.150822688,0.073919,2.0640875,1.64239225,0.307181746,17.9552002,32.19890976,0.10345459,47.57461929,0.011230469,7.519912243,21.88646507,0.171531573,354.9410706,-1.161131694,4.463807192,21.88646507,1.395,NA
2021,2021-05-14-5-PX-6,5-PX-6,May,spring,14/05/2021,PX,PX6,PX6-1,surface,0.081477125,0.07254075,2.223615,1.7083195,0.320987016,22.49517822,10.81586933,2.24446106,71.1480484,12.04638672,7.714315891,0.67779696,0.16278699,337.1153259,-2.214711776,6.136937426,13.21075439,2.79,NA
2021,2021-05-14-5-PX-6,5-PX-6,May,spring,14/05/2021,PX,PX6,PX6-2,middle,0.094756063,0.06978425,2.037983,1.73517875,0.310628265,21.0300293,15.82174206,0.738739014,54.17284012,0,7.552859306,5.642848492,0.162367925,336.114624,-1.862768568,4.80775393,13.21075439,4.185,NA
2021,2021-05-14-5-PX-6,5-PX-6,May,spring,14/05/2021,PX,PX6,PX6-3,bottom,0.088854313,0.0766755,2.0640875,1.7473875,0.274075061,19.24667358,23.45186996,0.50932312,43.20197678,9.77E-04,7.540369034,13.21075439,0.148718923,307.9109497,-1.466923055,3.97321076,13.21075439,-0.6975,NA
2021,2021-05-16-5-PX-4,5-PX-4,May,spring,16/05/2021,PX,PX4,PX4-1,surface,0.130166563,0.029815,2.7776105,1.8743585,0.284793079,22.48513794,10.69663906,0.04649353,63.34992981,8.372558594,8.720844269,0.55953896,0.144502312,299.1630249,-2.226833624,5.480448958,12.96289539,103.9275,NA
2021,2021-05-16-5-PX-4,5-PX-4,May,spring,16/05/2021,PX,PX4,PX4-2,middle,0.186233188,0.02843675,5.4112645,2.064815,0.306676745,22.55505371,15.52306843,0.084747314,50.44385529,0.009277344,8.311597824,5.346610069,0.155334949,321.699646,-2.21292207,4.460959326,12.96289539,157.635,NA
2021,2021-05-16-5-PX-4,5-PX-4,May,spring,16/05/2021,PX,PX4,PX4-3,bottom,0.084428,0.0546235,2.2265155,1.73517875,0.311885864,21.35940552,23.20197296,0.004226685,40.90270996,0.004882813,7.708374977,12.96289539,0.161896065,335.1936951,-1.901668044,3.757247439,12.96289539,36.27,NA
2021,2021-05-16-5-PX-5,5-PX-5,May,spring,16/05/2021,PX,PX5,PX5-1,surface,0.139019188,0.07254075,2.432451,1.82894195,0.297635823,22.37002563,10.67877579,0.463302612,185.0882111,7.762695313,8.020036697,0.541821361,0.149438813,309.4786682,-2.343134529,15.64341204,22.4471283,1.395,NA
2021,2021-05-16-5-PX-5,5-PX-5,May,spring,16/05/2021,PX,PX5,PX5-2,middle,0.215741938,0.0821885,2.809516,1.80354775,0.300049335,22.2744751,15.99898052,0.112503052,49.3433342,0.009765625,7.624461174,5.818641663,0.156379297,323.7488708,-1.897223807,4.524345554,22.4471283,2.79,NA
2021,2021-05-16-5-PX-5,5-PX-5,May,spring,16/05/2021,PX,PX5,PX5-3,bottom,0.230496313,0.08081025,3.575248,1.6204165,0.307181746,21.26556396,32.76418304,0.10345459,47.57461929,0.011230469,7.519912243,22.4471283,0.171531573,354.9410706,-1.161131694,4.463807192,22.4471283,2.0925,NA
2021,2021-05-16-5-PX-6,5-PX-6,May,spring,16/05/2021,PX,PX6,PX6-1,surface,0.4503365,0.0877015,4.4366965,1.79378075,0.29081288,21.86343384,10.71048546,0.007019043,71.1480484,0.014160156,8.318007469,0.573272467,0.149417356,309.3452454,-2.080675831,6.136937426,13.68917656,1.395,NA
2021,2021-05-16-5-PX-6,5-PX-6,May,spring,16/05/2021,PX,PX6,PX6-2,middle,0.313120813,0.10010575,6.121887,1.898776,0.290715218,21.87524414,15.52611351,0.005523682,58.15737534,0,7.768389702,5.349630356,0.149323702,309.1671753,-2.061496539,5.07724369,13.68917656,5.58,NA
2021,2021-05-16-5-PX-6,5-PX-6,May,spring,16/05/2021,PX,PX6,PX6-3,bottom,0.206889313,0.08632325,4.3960895,2.15027625,0.285614371,21.83599854,23.93422508,0.00390625,57.66171265,0.006835938,7.670427322,13.68917656,0.146817192,303.9849243,-2.016273442,5.037881886,13.68917656,6.975,NA
2021,2021-09-03-9-PX-4,9-PX-4,September,summer,3/09/2021,PX,PX4,PX4-1,surface,0.066856188,0.045168063,2.5228485,2.620331875,0.296977073,24.2645874,10.91386986,0.628479004,87.60837555,11.84423828,8.394495964,0.774998307,0.1454065,301.2079773,-2.653764488,7.308018668,30.48261452,0.6975,0.052
2021,2021-09-03-9-PX-4,9-PX-4,September,summer,3/09/2021,PX,PX4,PX4-2,middle,0.122680563,0.056053,2.5926335,2.301843,0.191817746,21.86416626,16.02876472,0.618881226,86.50775909,0.038085938,8.410669327,5.848182678,0.099228427,204.0385284,-2.094879902,7.556112067,30.48261452,0.6975,0.052
2021,2021-09-03-9-PX-4,9-PX-4,September,summer,3/09/2021,PX,PX4,PX4-3,bottom,0.078021063,0.033073688,2.3693215,1.98644625,0.199918151,20.77310181,40.8657341,0.546478271,91.94753265,0.041992188,8.359731674,30.48261452,0.105469726,217.4757996,-1.736333599,8.204348258,30.48261452,0.6975,0.052
2021,2021-09-03-9-PX-5,9-PX-5,September,summer,3/09/2021,PX,PX5,PX5-1,surface,0.059412938,0.045168063,1.859891,2.178158,0.236239389,25.44671631,10.78766155,4.714019775,116.0712891,16.44970703,8.960679054,0.649819195,0.113567106,234.2407837,-2.98010107,9.473901462,21.10726166,1.395,0.022
2021,2021-09-03-9-PX-5,9-PX-5,September,summer,3/09/2021,PX,PX5,PX5-2,middle,0.055691313,0.039120875,1.5737725,2.230724125,0.196655586,21.84039307,15.98147392,0.706436157,90.08979034,0.043457031,8.385203362,5.801277637,0.101699807,209.285675,-2.087845028,7.872508202,21.10726166,0.6975,0.022
2021,2021-09-03-9-PX-5,9-PX-5,September,summer,3/09/2021,PX,PX5,PX5-3,bottom,0.126402188,0.029445375,1.3365035,2.3884225,0.2065963,20.72509766,31.41329956,0.540115356,92.19625092,0.055175781,8.402146339,21.10726166,0.109024845,224.9648132,-1.766468836,8.234172299,21.10726166,0.6975,0.022
2021,2021-09-03-9-PX-6,9-PX-6,September,summer,3/09/2021,PX,PX6,PX6-1,surface,0.06127375,0.066937938,2.292558,2.0421045,0.211973071,24.05709839,10.78368282,2.018814087,97.69889069,2.643554688,8.430177689,0.645872951,0.104902312,215.8605957,-2.633507389,8.183406942,17.76662827,2.0925,0.0345
2021,2021-09-03-9-PX-6,9-PX-6,September,summer,3/09/2021,PX,PX6,PX6-2,middle,0.066856188,0.045168063,1.971547,2.267829625,0.214790061,20.76272583,16.16122437,0.652938843,92.668396,0.046386719,8.422599792,5.979562283,0.113193914,233.7041779,-1.84101888,8.269988913,17.76662827,0.6975,0.0345
2021,2021-09-03-9-PX-6,9-PX-6,September,summer,3/09/2021,PX,PX6,PX6-3,bottom,0.020335875,0.036702,1.5179445,1.927695875,0.21458438,20.66159058,28.04520035,0.504150391,92.82150269,0.056152344,8.357942581,17.76662827,0.113301255,233.972168,-1.764987967,8.300219248,17.76662827,0.6975,0.0345
2021,2021-09-04-9-MD-2,9-MD-2,September,summer,4/09/2021,MD,MD2,MD2-1,surface,0.025918313,0.043958625,3.1090425,1.432955875,0.306575149,25.57269287,10.74144173,1.261291504,88.76707458,29.640625,8.275220871,0.603976309,0.14630346,303.2579651,-2.988478809,7.227190828,19.67127609,7.6725,0.1145
2021,2021-09-04-9-MD-2,9-MD-2,September,summer,4/09/2021,MD,MD2,MD2-2,middle,-0.018741188,0.0270265,2.8857305,2.0915785,0.309983879,24.19665527,16.05864716,0.503601074,86.26883698,0.05078125,8.291416168,5.877821445,0.151925489,314.8143616,-2.608637357,7.205172208,19.67127609,0.6975,0.1145
2021,2021-09-04-9-MD-2,9-MD-2,September,summer,4/09/2021,MD,MD2,MD2-3,bottom,0.0538305,0.04153975,2.9694725,1.930788,0.305581689,23.97344971,29.96550751,0.489379883,88.75765228,0.0546875,8.281116486,19.67127609,0.150421143,311.6931152,-2.49156101,7.444227201,19.67127609,0.6975,0.1145
2021,2021-09-04-9-MD-3,9-MD-3,September,summer,4/09/2021,MD,MD3,MD3-1,surface,0.037083188,0.0463775,2.920623,2.379146125,0.292296976,25.646698,10.68801498,2.238143921,90.57145691,49.07226563,8.419203758,0.550985217,0.139369249,288.7305603,-3.013377837,7.364377942,22.47061729,6.975,0.1325
2021,2021-09-04-9-MD-3,9-MD-3,September,summer,4/09/2021,MD,MD3,MD3-2,middle,0.064995375,0.042749188,2.767096,1.9678935,0.283000559,24.32910156,16.06976891,0.601715088,82.64752197,0.041015625,8.230128288,5.888852596,0.138448402,286.6740417,-2.651860684,6.886155891,22.47061729,3.4875,0.1325
2021,2021-09-04-9-MD-3,9-MD-3,September,summer,4/09/2021,MD,MD3,MD3-3,bottom,0.009171,0.0270265,2.697311,2.5863185,0.195449054,23.16995239,32.78786469,0.612884521,90.46405792,0.054199219,8.301187515,22.47061729,0.098582067,202.5281982,-2.322851669,7.70585024,22.47061729,3.4875,0.1325
2021,2021-09-04-9-MD-4,9-MD-4,September,summer,4/09/2021,MD,MD4,MD4-1,surface,0.09104675,0.077822875,2.822924,2.79039875,0.222393394,24.89205933,10.61237907,3.406524658,103.8025208,34.99511719,8.250649452,0.475966096,0.108207315,222.8528442,-2.841767449,8.560038621,18.01440048,4.185,0.0295
2021,2021-09-04-9-MD-4,9-MD-4,September,summer,4/09/2021,MD,MD4,MD4-2,middle,0.064995375,0.057262438,2.3414075,1.501910263,0.195405006,23.81100464,16.12755203,0.83291626,97.67240906,0.030273438,8.085925102,5.946164608,0.097421266,199.9457397,-2.554394939,8.21951191,18.01440048,2.0925,0.0295
2021,2021-09-04-9-MD-4,9-MD-4,September,summer,4/09/2021,MD,MD4,MD4-3,bottom,0.0836035,0.058471875,2.320472,2.648161,0.189024597,23.37786865,28.29500961,0.647583008,91.51319885,0.041992188,7.932724476,18.01440048,0.095104404,195.0683441,-2.395767906,7.764635529,18.01440048,2.0925,0.0295
